Title,Sub_title,Price in Euro per month,Features,Surface_area,No of rooms,Agent
Apartment Keizersgracht 114,1015 CV Amsterdam (Grachtengordel-West),3000,Furnished,80,4,Oei Housing Amsterdam - Expat Apartments
Apartment Vondelstraat,1054 GE Amsterdam (Vondelbuurt),2950,²3 rooms1870,125,3,Von Poll Real Estate - Centrum
Apartment Johannes Verhulststraat 224 H,1075 HG Amsterdam (Willemspark),4000,Upholstered,140,5,De Graaf & Groot Makelaars
Apartment Titiaanstraat,1077 RL Amsterdam (Apollobuurt),4500,²,171,7,Von Poll Real Estate - Centrum
Apartment Beethovenstraat,1077 JP Amsterdam (Apollobuurt),3800,Furnished,134,3,Brixt
Apartment Duke Ellingtonstraat,1066 GE Amsterdam (Sloter-/Riekerpolder),2150,Furnished,94,1,123Wonen Amsterdam
House Prinsengracht 516,1017 KJ Amsterdam (De Weteringschans),13500,Upholstered,536,5,Vastgoed Unie Makelaardij
Apartment Tweede Oosterparkstraat 184 H,1092 BT Amsterdam (Oosterparkbuurt),2100,Upholstered,84,3,The Tenants Group
Apartment Roerstraat,1078 LL Amsterdam (Scheldebuurt),2300,Furnished,75,3,The Tenants Group
Apartment Geschutswerf,1018 AW Amsterdam (Oostelijke Eilanden/Kadijken),3495,Furnished,170,4,City Homes
Apartment Uiterwaardenstraat,1079 DD Amsterdam (Scheldebuurt),3250,²,120,4,Ramón Mossel Makelaardij
Apartment Orteliusstraat 221 3,1056 NR Amsterdam (Van Galenbuurt),1850,Furnished,60,2,ViaDaan
House Simon Stevinstraat 33 hs,1097 BX Amsterdam (Frankendael),3250,Upholstered,138,5,27 Huis Makelaars
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Olympiaplein 19 BV,1077 CK Amsterdam (Apollobuurt),4500,Upholstered,200,6,Parker & Williams Real Estate Services
Apartment Jan Luijkenstraat,1071 CS Amsterdam (Museumkwartier),5000,Furnished,236,4,NOORESTATE
Apartment Van Baerlestraat 72 D,1071 BA Amsterdam (Museumkwartier),3500,Upholstered,150,3,Apollo Makelaardij
Apartment Minervalaan,1077 PK Amsterdam (Apollobuurt),3950,Upholstered,140,3,"City Homes,                                                                                 Hakkenbroek Housing Company"
Apartment Keizersgracht 734 C,1017 EW Amsterdam (Grachtengordel-Zuid),3250,Upholstered,136,3,27 Huis Makelaars
Apartment Vossiusstraat 39 hs,1071 AH Amsterdam (Museumkwartier),7000,Upholstered,260,7,Dutch Housing Centre BV
Apartment Herengracht,1017 CD Amsterdam (Grachtengordel-Zuid),5400,Furnished,125,3,Prestige Housing
Apartment Lodewijk van Deysselstraat,1067 CJ Amsterdam (Geuzenveld),1160,²3 rooms2021,83,3,Wooove B.V.
House Valeriusplein,1075 BJ Amsterdam (Willemspark),8000,Upholstered,366,6,Inter Immo Amsterdam
Apartment Nicolaas Witsenkade,1017 ZS Amsterdam (De Weteringschans),7950,Furnished,200,6,Koops Makelaardij Amsterdam
House Bongerdkade,1036 LZ Amsterdam (Tuindorp Oostzaan),3100,Furnished,150,5,020Apartment
Apartment Keizersgracht,1017 EM Amsterdam (Grachtengordel-Zuid),10750,Furnished,320,7,Von Poll Real Estate - Zuidas
Apartment Singel 91 E,1012 VG Amsterdam (Burgwallen-Nieuwe Zijde),2850,Furnished,110,2,Amsterdam Housing
Apartment Valeriusstraat 24 hs,1071 MJ Amsterdam (Museumkwartier),4750,Upholstered,148,5,Dutch Housing Centre BV
Apartment Kerkstraat,1017 HW Amsterdam (Grachtengordel-Zuid),5000,Furnished,120,3,Expats. Amsterdam Rentals
Apartment Koningin Wilhelminaplein,1062 KS Amsterdam (Westlandgracht),1665,²2 rooms2016,64,2,Wooove B.V.
Apartment IJselstraat 87 H,1078 CG Amsterdam (IJselbuurt),1875,Upholstered,50,3,Expat Rental Scout
Apartment Eerste Schinkelstraat 23 H,1075 TV Amsterdam (Schinkelbuurt),3950,Upholstered,150,4,Amsterdam Housing
House Van Breestraat 139 hs,1071 ZL Amsterdam (Museumkwartier),4950,Upholstered,140,5,Dutch Housing Centre BV
Apartment Spuistraat 257 D,1012 VR Amsterdam (Burgwallen-Nieuwe Zijde),2750,Upholstered,60,4,Smit & Heinen Makelaars en Taxateurs
Apartment Wagenstraat,1017 CZ Amsterdam (Grachtengordel-Zuid),3100,Upholstered,90,3,Rotsvast Amsterdam
Apartment De Lairessestraat 172 B,1075 HM Amsterdam (Willemspark),2950,Furnished,84,3,Oei Housing Amsterdam - Expat Apartments
Apartment Laan der Hesperiden 16 H,1076 DK Amsterdam (Stadionbuurt),3500,Upholstered,127,3,huishuren.nu
Apartment Plantage Middenlaan,1018 DA Amsterdam (Weesperbuurt/Plantage),2950,Upholstered,140,4,Rotsvast Amsterdam
Apartment Oosterpark 62 I,1092 AR Amsterdam (Oosterparkbuurt),3000,Furnished,85,3,EHR Amsterdam
Apartment Oosterpark 62 II,1092 AR Amsterdam (Oosterparkbuurt),3000,Furnished,85,3,EHR Amsterdam
Apartment Stadionweg 140 I,1077 SX Amsterdam (Apollobuurt),3000,Upholstered,111,4,Dutch Housing Centre BV
Apartment Kleiburg,"1104 EA Amsterdam (Bijlmer Oost (E,G,K))",2095,Furnished,132,4,HouseHunting Randstad
Apartment Geschutswerf 63,1018 AW Amsterdam (Oostelijke Eilanden/Kadijken),3500,²2 rooms1840,164,2,DSTRCT Amsterdam
Apartment Oudeschans 18 III,1011 LA Amsterdam (Nieuwmarkt/Lastage),3500,Furnished,100,3,De la Haye Makelaardij O.G.
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Groenburgwal 14 IV,1011 HV Amsterdam (Nieuwmarkt/Lastage),4400,Furnished,189,3,Makelaarskantoor Carla van den Brink
House Troelstralaan,1067 MX Amsterdam (Geuzenveld),2600,Furnished,110,4,Amsterdam Property Renting
Apartment Beemsterstraat 542 F2,1024 BV Amsterdam (Waterlandpleinbuurt),1295,²3 rooms1970,83,3,Heimstaden
Apartment Leonardostraat 6 I,1077 EV Amsterdam (Apollobuurt),4500,Upholstered,185,6,Dutch Housing Centre BV
Apartment Dam,1012 JS Amsterdam (Burgwallen-Oude Zijde),5500,Upholstered or furnished,125,3,Out Amsterdam
Apartment Koningin Wilhelminaplein,1062 KS Amsterdam (Westlandgracht),2250,Furnished,90,3,Skyreach Stay
Apartment Tweede Hugo de Grootstraat,1052 LC Amsterdam (Frederik Hendrikbuurt),1875,Upholstered,52,2,Expathousing.com (Amsterdam)
Apartment Van Eeghenstraat 103 2,1071 EZ Amsterdam (Museumkwartier),5000,Upholstered,204,6,Broersma Makelaardij
Apartment Nieuwe Prinsengracht,1018 VT Amsterdam (Weesperbuurt/Plantage),2300,Furnished,75,2,City Homes
Apartment Evertsweertplantsoen 22,1069 RL Amsterdam (Osdorp-Midden),1849,Upholstered or furnished,60,2,ViaDaan
Apartment Keizersstraat,1011 GD Amsterdam (Nieuwmarkt/Lastage),2500,Furnished,100,3,Michiel Stolker Real Estate
Apartment Brouwersgracht 180 A,1013 HC Amsterdam (Haarlemmerbuurt),7000,Furnished,200,4,Prinsen Residence International
House Prinsengracht 264,1016 HH Amsterdam (Jordaan),9500,²,240,7,Makelaarskantoor Carla van den Brink
Apartment Willemsparkweg,1071 GN Amsterdam (Museumkwartier),4950,Upholstered,185,6,Aham Vastgoed
Apartment Kerkstraat 132 A,1017 GP Amsterdam (Grachtengordel-Zuid),3450,Before 1906,129,4,Broersma Makelaardij
Apartment Minervalaan,1077 NL Amsterdam (Apollobuurt),4450,Upholstered,164,6,Park Real Estate
Apartment Leeuwenwerf,1018 KA Amsterdam (Oostelijke Eilanden/Kadijken),2450,²,104,4,Huisportaal.nl
House Moestuinlaan,1036 KD Amsterdam (Tuindorp Oostzaan),4500,Upholstered or furnished,200,10,Von Poll Real Estate - Centrum
Apartment Van Breestraat 90 II,1071 ZS Amsterdam (Museumkwartier),4250,Upholstered,122,7,Dutch Housing Centre BV
Apartment Esplanade de Meer,1098 WN Amsterdam (Middenmeer),2500,Furnished,96,3,The Dutch Realty
Apartment NDSM-kade,1033 PG Amsterdam (Noordelijke IJ-oevers West),1694,Upholstered,89,2,"FRIS Woningmakelaars Amsterdam,                                                                                 Eefje Voogd Makelaardij"
Apartment NDSM-kade,1033 PG Amsterdam (Noordelijke IJ-oevers West),1568,Upholstered,64,2,"FRIS Woningmakelaars Amsterdam,                                                                                 Eefje Voogd Makelaardij"
Apartment NDSM-kade,1033 PG Amsterdam (Noordelijke IJ-oevers West),1265,Upholstered,63,2,"FRIS Woningmakelaars Amsterdam,                                                                                 Eefje Voogd Makelaardij"
Apartment NDSM-kade,1033 PG Amsterdam (Noordelijke IJ-oevers West),1487,Upholstered,71,2,"FRIS Woningmakelaars Amsterdam,                                                                                 Eefje Voogd Makelaardij"
Apartment Plantage Middenlaan,1018 DE Amsterdam (Weesperbuurt/Plantage),3150,Upholstered,147,4,Keij & Stefels Makelaars en Taxateurs
Apartment Grasweg 168,1031 HX Amsterdam (Noordelijke IJ-oevers West),1550,²3 rooms2021-2030,62,3,Uppmark
Apartment Mary van der Sluisstraat 284 *,1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep),2250,²3 rooms2017,88,3,Mid-stay Apartments
Apartment Houthavenweg,1014 ZA Amsterdam (Houthavens),1688,²1 room2022,60,1,Wooove B.V.
Apartment Haparandaweg,1013 BD Amsterdam (Houthavens),1328,²1 room2022,43,1,Wooove B.V.
Apartment Lijnbaansgracht,1016 VX Amsterdam (Jordaan),7500,Upholstered or furnished,178,2,Kerkvliet Makelaars
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Grasweg 148,1031 HX Amsterdam (Noordelijke IJ-oevers West),1550,²3 rooms2021-2030,69,3,Uppmark
Apartment Grasweg 122,1031 HX Amsterdam (Noordelijke IJ-oevers West),1747,²2 rooms2021-2030,90,2,Uppmark
Apartment Ruysdaelkade 197 2,1072 AV Amsterdam (Nieuwe Pijp),1865,Furnished,58,3,The Tenants Group
Apartment Willem Parelstraat,1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken),1850,²,84,3,Eefje Voogd Makelaardij
Apartment Keizersgracht 385 B,1016 EJ Amsterdam (Grachtengordel-West),9750,Upholstered or furnished,300,5,Parker & Williams Real Estate Services
Apartment Aalsmeerweg 37 H,1059 AB Amsterdam (Hoofddorppleinbuurt),3000,Upholstered,90,4,ViaDaan
Studio Wibautstraat 150,1091 GR Amsterdam (Weesperzijde),3250,Furnished,40,1,ViaDaan
Apartment Grasweg 278,1031 HX Amsterdam (Noordelijke IJ-oevers West),1446,²3 rooms2021-2030,62,3,Uppmark
Apartment Kalverstraat,1012 PH Amsterdam (Burgwallen-Nieuwe Zijde),2750,Furnished,110,4,The Dutch Realty
Apartment Bos en Lommerplantsoen,1055 AA Amsterdam (De Kolenkit),4500,Furnished,50,2,Rotterdam Apartments
Apartment Grasweg 124,1031 HX Amsterdam (Noordelijke IJ-oevers West),2154,²3 rooms2021-2030,106,3,Uppmark
Apartment Grasweg 344,1031 HX Amsterdam (Noordelijke IJ-oevers West),1773,²3 rooms2021-2030,74,3,Uppmark
Apartment Grasweg 138,1031 HX Amsterdam (Noordelijke IJ-oevers West),1540,²3 rooms2021-2030,69,3,Uppmark
Apartment Grasweg 292,1031 HX Amsterdam (Noordelijke IJ-oevers West),1447,²3 rooms2021-2030,63,3,Uppmark
Apartment Grasweg 152,1031 HX Amsterdam (Noordelijke IJ-oevers West),1367,²3 rooms2021-2030,62,3,Uppmark
Apartment Albert Cuypstraat 143 3,1072 CS Amsterdam (Oude Pijp),2900,Furnished,53,2,Surreal Estate
Studio August Allebéplein,1062 AC Amsterdam (Overtoomse Veld),673,Upholstered,30,1,Change=
Apartment Prinsengracht,1016 GV Amsterdam (Grachtengordel-West),4900,Upholstered or furnished,100,3,Top Select Housing
Apartment NDSM-kade,1033 PG Amsterdam (Noordelijke IJ-oevers West),2654,Upholstered,129,4,"FRIS Woningmakelaars Amsterdam,                                                                                 Eefje Voogd Makelaardij"
Apartment Stromarkt,1012 SW Amsterdam (Burgwallen-Nieuwe Zijde),2350,Furnished,65,2,123Wonen Amsterdam
Apartment Stadionweg,1077 ST Amsterdam (Apollobuurt),2700,Upholstered or furnished,120,3,Van Laar Vastgoed
Apartment John Blankensteinstraat,1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep),3400,Upholstered,105,5,Amsterdam Property Renting
Studio Elizabeth Cady Stantonplein,"1102 BL Amsterdam (Bijlmer Centrum (D,F,H))",655,Upholstered,30,1,Change=
Apartment Tasmanstraat 3,1013 PW Amsterdam (Houthavens),2150,Furnished,100,4,ViaDaan
Apartment Koningin Wilhelminaplein,1062 KS Amsterdam (Westlandgracht),2250,Furnished,90,3,Skyreach Stay
Apartment IJdok,1013 MM Amsterdam (Haarlemmerbuurt),2550,Upholstered or furnished,55,2,startupstays
Apartment Amstelveenseweg,1075 XL Amsterdam (Schinkelbuurt),2450,Upholstered or furnished,70,3,Skyreach Stay
Apartment Van Spilbergenstraat,1057 RP Amsterdam (Hoofdweg e.o.),1655,²3 rooms1906-1930,50,3,Visch & Van Zeggelaar Amsterdam
Apartment Admiraal De Ruijterweg,1055 ND Amsterdam (Landlust),1600,Upholstered,61,2,RKZ Makelaars
Apartment Admiraal De Ruijterweg,1055 ND Amsterdam (Landlust),1600,Upholstered,60,2,RKZ Makelaars
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Kanaalstraat,1054 XB Amsterdam (Overtoomse Sluis),2650,²3 rooms1906-1930,110,3,Van Maarschalkerwaart Makelaars
Apartment Valkenburgerstraat 132 D,1011 NA Amsterdam (Nieuwmarkt/Lastage),2650,Upholstered or furnished,95,3,Ter Haar Makelaars B.V.
Apartment Tweede Atjehstraat 49 1,1094 LD Amsterdam (Indische Buurt West),1850,Furnished,60,3,Parker & Williams Real Estate Services
Apartment Overtoom,1054 LN Amsterdam (Overtoomse Sluis),1850,Upholstered or furnished,63,2,ViaDjo
Apartment Elisabeth Wolffstraat,1053 TT Amsterdam (Kinkerbuurt),2200,²4 rooms1901,64,4,ME Makelaars BV
Apartment Ferdinand Bolstraat 132 2,1072 LR Amsterdam (Oude Pijp),1825,Furnished,52,2,KK Amsterdam
Apartment Palmgracht 59,1015 HL Amsterdam (Jordaan),1150,Upholstered or furnished,40,1,PropertiesNL Makelaardij
Apartment Czaar Peterstraat 72 E,1018 PR Amsterdam (Oostelijke Eilanden/Kadijken),1950,Furnished,80,3,JLG Real Estate
Apartment Leliegracht,1016 GN Amsterdam (Grachtengordel-West),1950,Before 1906,69,2,Engel en Volkers Amsterdam Centrum
Apartment Buyskade,1051 MD Amsterdam (Staatsliedenbuurt),1300,²1 room2003,67,1,Hallie & Van Klooster
Apartment Sloterkade 77 3,1058 HH Amsterdam (Hoofddorppleinbuurt),2500,Furnished,85,4,Listings
Apartment Schierstins,1082 TJ Amsterdam (Buitenveldert-West),1750,Furnished,67,3,AHA (Another Home Abroad)
Apartment Crynssenstraat,1058 XX Amsterdam (Westindische Buurt),2850,²,90,4,Van Maarschalkerwaart Makelaars
Apartment Buyskade,1051 MD Amsterdam (Staatsliedenbuurt),1450,²2 rooms2003,74,2,Hallie & Van Klooster
Apartment Admiralengracht,1057 EZ Amsterdam (Chassébuurt),2950,Furnished,96,4,ME Makelaars BV
Apartment Pieter Calandlaan,1068 NK Amsterdam (Osdorp-Oost),2000,Furnished,82,4,Brixt
Apartment Hogeweg,1098 BT Amsterdam (Middenmeer),2500,²3 rooms1900,70,3,Visch & Van Zeggelaar Amsterdam
Apartment Prinsengracht,1016 HP Amsterdam (Grachtengordel-West),5500,Upholstered,177,4,NOORESTATE
Apartment Bloemgracht 191 C,1016 KP Amsterdam (Jordaan),2200,Upholstered,67,3,Dutch Housing Centre BV
Apartment Van Baerlestraat 36 1,1071 AX Amsterdam (Museumkwartier),2250,Upholstered,60,2,Parker & Williams Real Estate Services
Apartment Valeriusstraat,1071 MD Amsterdam (Museumkwartier),5500,Upholstered or furnished,144,5,VV Real Estate
Apartment Oudeschans 79 R,1011 KW Amsterdam (Nieuwmarkt/Lastage),2400,Furnished,80,3,Amstelland Makelaars
Apartment Nieuwe Looiersstraat,1017 VA Amsterdam (De Weteringschans),2850,Furnished,90,3,Van Maarschalkerwaart Makelaars
Apartment Zocherstraat 29 1,1054 LR Amsterdam (Overtoomse Sluis),2750,²3 rooms1916,84,3,Engel en Volkers Amsterdam
Apartment KNSM-laan 465,1019 LG Amsterdam (Oostelijk Havengebied),1850,²3 rooms1996,86,3,Aemestelle Makelaars Amsterdam
House Soetendaal,1081 BN Amsterdam (Buitenveldert-West),4000,Upholstered,170,7,AHA (Another Home Abroad)
Apartment Zeeburgerkade 1204,1019 VK Amsterdam (Oostelijk Havengebied),2300,Upholstered,105,4,Dutch Housing Centre BV
Apartment Bloemgracht 110 A,1015 TN Amsterdam (Jordaan),2450,Upholstered,90,3,Dutch Housing Centre BV
Apartment Archimedesweg,1098 JP Amsterdam (Middenmeer),2350,Furnished,73,4,Makelaardij Prins van Wijngaarden
Apartment Oudezijds Armsteeg 4 E,1012 GP Amsterdam (Burgwallen-Oude Zijde),1700,Furnished,80,2,Parker & Williams Real Estate Services
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Ferdinand Bolstraat,1072 LC Amsterdam (Oude Pijp),2400,Upholstered or furnished,80,3,Kalwij Vastgoed
Apartment H. Cleyndertweg 589,1025 DX Amsterdam (Buikslotermeer),2000,Furnished,81,4,Amsterdam Housing
Apartment Van Ollefenstraat,1065 LK Amsterdam (Slotervaart Zuid),1350,²3 rooms1994,69,3,NEWCURB Makelaars
Apartment Brachthuijzerstraat 5 2,1075 EN Amsterdam (Willemspark),2250,Furnished,70,2,Parker & Williams Real Estate Services
Apartment Eerste Atjehstraat 21 3,1094 JZ Amsterdam (Indische Buurt West),1850,Upholstered,54,2,Aemestelle Makelaars Amsterdam
Apartment Lutmastraat 223 hs,1074 TX Amsterdam (Zuid Pijp),2250,Furnished,71,2,Amsterdam Housing
Apartment Oudezijds Achterburgwal,1012 DG Amsterdam (Burgwallen-Oude Zijde),2150,Upholstered,99,3,Sweers & Boys
Studio Haparandaweg,1013 BD Amsterdam (Houthavens),2000,Furnished,43,2,Amsterdam Rentals
Apartment Marie Heinekenplein,1072 MK Amsterdam (Oude Pijp),2400,²3 rooms1995,105,3,Peters & Partners
Apartment Jozef Israëlskade,1073 RC Amsterdam (Zuid Pijp),1850,Furnished,47,2,Amsterdam Rentals
Apartment Weesperzijde,1091 EB Amsterdam (Weesperzijde),2500,Furnished,75,3,Von Poll Real Estate - Centrum
Apartment Chestertonlaan,"1102 XT Amsterdam (Bijlmer Centrum (D,F,H))",1400,Upholstered,65,2,LV Housing
Apartment Willem van Weldammelaan 86,1082 KW Amsterdam (Buitenveldert-West),2750,Upholstered,125,4,Amsterdam Housing
House Scheepsbouwweg,1033 DC Amsterdam (Tuindorp Oostzaan),1950,²,75,3,Heeren Makelaars B.V.
Apartment Vätternkade,1060 PK Amsterdam (Middelveldsche Akerpolder),2450,Upholstered or furnished,120,4,Alcoco.nl
Apartment Burgemeester Hogguerstraat 737,1064 EA Amsterdam (Slotermeer-Zuidwest),2250,Furnished,100,5,The Brick Club
Apartment Van Nijenrodeweg 366,1082 HE Amsterdam (Buitenveldert-West),2100,Upholstered or furnished,87,3,Mooi Makelaardij
Apartment Brouwersgracht,1015 GJ Amsterdam (Jordaan),2800,²3 rooms1658,120,3,Makelaarskantoor Babs Persoons B.V.
Apartment Diezestraat 32 II,1078 JS Amsterdam (Scheldebuurt),3250,²7 rooms1906-1930,150,7,Ter Haar Makelaars B.V.
Apartment Van Boshuizenstraat 295,1083 AX Amsterdam (Buitenveldert-Oost),2000,Furnished,74,3,Amsterdam Housing
Apartment Jasonstraat 51 2,1076 KZ Amsterdam (Stadionbuurt),2800,Upholstered,120,4,Prinsen Residence International
Apartment Rozengracht 114 I,1016 NH Amsterdam (Jordaan),2640,Furnished,88,3,Amsterdam Beautiful Property Rental
Apartment Westerdoksdijk 305,1013 AD Amsterdam (Haarlemmerbuurt),2250,²3 rooms2008,82,3,Peter Bruin Makelaardij
Apartment Kinderdijkstraat,1079 GP Amsterdam (Rijnbuurt),2400,²,86,3,Ramón Mossel Makelaardij
Apartment Alexander Boersstraat,1071 KZ Amsterdam (Museumkwartier),3000,²,134,4,Dames van Vermeer
Apartment Lauriergracht,1016 RG Amsterdam (Jordaan),1750,Upholstered or furnished,60,2,Alcoco.nl
Apartment Prinsengracht,1016 JB Amsterdam (Jordaan),2495,Furnished,85,2,People On The Move Expat Brokers
House Keizersgracht 663,1017 DV Amsterdam (Grachtengordel-Zuid),2300,Before 1906,90,5,Peter Bruin Makelaardij
Apartment Brouwersgracht 270 D,1013 HG Amsterdam (Haarlemmerbuurt),2700,Upholstered,85,3,House of Rentals
Apartment Bronckhorststraat 46,1071 WV Amsterdam (Museumkwartier),3500,Upholstered,104,4,Dutch Housing Centre BV
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Prinsengracht 246 H,1016 HE Amsterdam (Jordaan),3500,²,131,4,De la Haye Makelaardij O.G.
Apartment Runstraat 12 2,1016 GK Amsterdam (Grachtengordel-West),2650,Upholstered or furnished,88,4,Amsterdam Beautiful Property Rental
House Johannes Verhulststraat,1071 MX Amsterdam (Museumkwartier),13500,²,383,10,Heeren Makelaars B.V.
Apartment Bestevâerstraat,1055 TL Amsterdam (Landlust),1750,²,71,2,Hausing
Apartment Molukkenstraat,1095 BJ Amsterdam (Indische Buurt Oost),1750,Furnished,62,3,Keizerskroon makelaars
Apartment Frederiksplein 24 C,1017 XM Amsterdam (De Weteringschans),2450,Furnished,70,2,Parker & Williams Real Estate Services
Apartment Diezestraat,1078 JR Amsterdam (Scheldebuurt),3750,Upholstered,161,5,Keij & Stefels Makelaars en Taxateurs
Apartment Koninginneweg 40 C,1075 CZ Amsterdam (Willemspark),6500,²6 rooms1914,180,6,Peter Bruin Makelaardij
Apartment Geldersekade,1011 EH Amsterdam (Burgwallen-Oude Zijde),2500,Upholstered or furnished,70,3,P&P Vastgoed Makelaars B.V.
Apartment Nieuwpoortstraat 94 C6,1055 RZ Amsterdam (Landlust),1700,Upholstered,48,2,Rent a Stone
Apartment Rietlandpark,1019 DR Amsterdam (Oostelijk Havengebied),2495,Furnished,120,3,People On The Move Expat Brokers
House Prinsengracht,1016 JA Amsterdam (Jordaan),3950,Upholstered,181,6,Kalwij Vastgoed
Apartment Bloemgracht,1015 TT Amsterdam (Jordaan),6000,Upholstered,195,6,Koops Makelaardij Amsterdam
House Veenbesstraat 2,1036 LP Amsterdam (Tuindorp Oostzaan),2500,Upholstered,130,5,The Rental Agency Amsterdam
Apartment Haarlemmerweg 55 3,1051 KP Amsterdam (Staatsliedenbuurt),2250,Upholstered,69,4,Parker & Williams Real Estate Services
Apartment Plantage Kerklaan,1018 SX Amsterdam (Weesperbuurt/Plantage),2750,Furnished,90,3,Koops Makelaardij Amsterdam
Apartment Emmy Andriessestraat,1087 NE Amsterdam (IJburg Zuid),1784,²3 rooms2010,114,3,Van 't Hof Rijnland Vastgoedmanagement
Apartment Leliegracht 12 II,1015 DE Amsterdam (Grachtengordel-West),3400,Furnished,160,3,Amsterdam Housing
